num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean
1950	0.097147129219029	0.76685675006695	847	315	0.928628059497749	21			30.4499999999999	-0.0115210052855057		0.0789999999999509	infill_ei	0.516999999999939	0.0219780558275242	0.931394012698921
2044	0.0265756198271929	0.659897544746905	13	1	0.926348102115141	17			18.854	-0.0133394358461198		0.0639999999999645	infill_ei	0.488999999999919	0.0465982534036587	0.914384289846583
2042	0.292381131115378	0.997034640819009	32	297	0.926043141458607	15			23.2180000000001	-0.0146291361874848		0.0640000000000782	infill_ei	0.485000000000014	0.0481438283960657	0.915051771678457
1812	0.170042777713737	0.164373214500519	12	230	0.925466228733785	18			17.675	-0.0124842969914579		0.0649999999999409	infill_ei	0.506999999999948	0.0284409434365421	0.928555775447019
1932	0.0159740334295685	0.101330073883998	1699	314	0.925028586323665	12			24.709	-0.0151780465318107		0.0590000000000828	infill_ei	0.482999999999947	0.047196796455804	0.917084275194054
1977	0.103401063334993	0.374470327340492	89	709	0.924901083470712	0			22.486				initdesign			
1111	0.155176332087642	0.430971162213232	1481	766	0.924898218581139	14			13.794	-0.0139799352000629		0.0520000000000209	infill_ei	0.490000000000009	0.0247915505331675	0.932351056786206
1572	0.061347817580842	0.101899426179887	1990	1008	0.924190744206436	3			14.8829999999999	-0.0246584331706453		0.0380000000000109	infill_ei	0.449999999999932	0.0725100902836679	0.915920059195328
2048	0.18287386224732	0.806884694167967	887	1128	0.924098346292977	10			19.6339999999999	-0.0166194744962555		0.0519999999999072	infill_ei	0.449000000000069	0.0398648756005872	0.926312529323239
2036	0.287011044400424	0.637755371642488	2045	581	0.92368694980937	6			25.751	-0.0216115257441126		0.05499999999995	infill_ei	0.458000000000084	0.0568996553921597	0.922690521251246
945	0.0518985190501884	0.954753532273168	1173	1550	0.923680329034298	0			8.21600000000001				initdesign			
1240	0.231021762574796	0.446990364707074	1507	117	0.923535231745761	0			19.846				initdesign			
1990	0.0197299965084712	0.186706726772735	1007	1667	0.922987709169849	20			18.556	-0.0125738773579717		0.0659999999999172	infill_ei	0.508999999999901	0.0366887524152765	0.922018910126823
165	0.0879940689982069	0.654125282060834	275	1790	0.922805452740059	0			1.74599999999998				initdesign			
91	0.299876638030946	0.720351571565989	1565	982	0.922530420492936	0			1.10500000000002				initdesign			
1884	0.241155455474041	0.996526826631682	8	1707	0.922157883900528	23			16.2990000000001	-0.0106040307655006		0.0610000000000355	infill_ei	0.522000000000048	0.0346290084113629	0.921646537719998
1049	0.163193285578773	0.721743207248335	1378	1871	0.921770171530818	29			9.50200000000007	-0.00839941149319414		0.0710000000000264	infill_ei	0.538999999999987	0.0186008682335548	0.93050966776334
2042	0.010039123025801	0.945078383695928	1457	2054	0.921426069423114	16			17.191	-0.0136022171446232		0.0539999999999736	infill_ei	0.5	0.0449005917937497	0.91663920992587
2044	0.299055998833802	0.107293961731664	1111	916	0.921321491455594	28			20.782	-0.00992372894605448		0.0670000000000073	infill_ei	0.539000000000101	0.0273077201793657	0.926628738240332
1112	0.29997122312733	0.996724334958719	371	743	0.921264867953379	26			12.275	-0.00854230305752052		0.0680000000000973	infill_ei	0.521999999999935	0.0266418796294451	0.92415686250598
395	0.278380248600045	0.100392680372008	870	522	0.920822278879746	7			4.49199999999996	-0.0199430963240239		0.0489999999999782	infill_ei	0.467999999999961	0.0540357523831436	0.921592173959518
1949	0.2995905569103	0.541863555748937	2048	1762	0.920212710799743	5			21.01	-0.022049650959931		0.0629999999999882	infill_ei	0.489000000000033	0.0711131131928214	0.911212362308545
976	0.241220191861569	0.103890952553729	13	1314	0.919908830951625	4			8.92400000000009	-0.0230239564168526		0.0520000000000209	infill_ei	0.447000000000003	0.066185259939354	0.917840602655657
1053	0.153912662389766	0.26143999260839	583	2187	0.918630713998855	0			9.74099999999999				initdesign			
84	0.219314967064974	0.998429409217745	25	2	0.918367643801927	25			1.30799999999999	-0.00950400856436667		0.0710000000000264	infill_ei	0.52800000000002	0.0396163183470997	0.913853876183128
43	0.18728478963694	0.170453826239824	2024	1578	0.917550488382042	8			0.745000000000005	-0.0185994838691372		0.0489999999999782	infill_ei	0.467999999999961	0.0527458280746586	0.919819838200848
625	0.0722574703670232	0.510570160096649	1967	2407	0.917484287523888	0			6.51800000000003				initdesign			
1504	0.22249026137357	0.801372962588346	463	3047	0.91456196814277	0			10.609				initdesign			
150	0.0100880535750165	0.912009469932536	1274	517	0.914217333676523	2			2.16599999999994	-0.025836107436223		0.0609999999999218	infill_ei	0.460000000000036	0.0757740676264437	0.915665854984846
552	0.0986781200028488	0.998088780180342	2047	3125	0.914057943081991	27			4.90099999999995	-0.00885320066095718		0.0780000000000882	infill_ei	0.537999999999897	0.0388411732461152	0.912808070189343
2039	0.232873323730951	0.10549391827619	2043	2708	0.91253260191849	30			16.787	-0.00858973148005244		0.06899999999996	infill_ei	0.533999999999992	0.0420872548418544	0.908433571891315
2001	0.298150508661775	0.982699427647281	1958	3557	0.911842032897649	24			15.3399999999999	-0.00996180540528612		0.0629999999999882	infill_ei	0.538000000000011	0.0454474573487953	0.908939265872976
2047	0.0103326307062343	0.344776995973117	1927	3388	0.911364308055951	11			19.507	-0.0159381815965539		0.0480000000000018	infill_ei	0.480999999999995	0.0641852942014899	0.902468756553222
248	0.268382824888715	0.353499907260523	1013	3306	0.911203597433079	0			2.56				initdesign			
315	0.137694881399752	0.901255639212013	697	3610	0.910950591711236	0			2.52000000000004				initdesign			
8	0.298843856380961	0.999972421950213	853	2314	0.908296764858921	9			0.423999999999978	-0.0176780843005892		0.0590000000000828	infill_ei	0.475999999999999	0.0602473345922982	0.910893362247019
1426	0.191426638446106	0.766652803140176	1926	4653	0.905566222488469	0			9.23700000000002				initdesign			
1584	0.252401674888457	0.20118434130129	1383	4135	0.905283532723152	0			13.39				initdesign			
1751	0.122255601260733	0.302294793251743	813	4930	0.901966391801192	0			14.829				initdesign			
726	0.210761810569083	0.975081499675743	1241	5522	0.899623597673221	0			5.00800000000004				initdesign			
110	0.298825993672908	0.104625002213806	9	5664	0.897842386451157	19			1.32999999999993	-0.0132931260060008		0.0609999999999218	infill_ei	0.497999999999934	0.0544603811696892	0.906677153029131
11	0.010167624134759	0.436960264635128	67	1119	0.897126732299953	22			0.463999999999942	-0.0101023466660024		0.0670000000000073	infill_ei	0.519999999999982	0.0377580287630143	0.917379001818649
1174	0.160909285017436	0.582848961699657	924	5982	0.896195783308556	0			8.86899999999997				initdesign			
454	0.279036235054964	0.184282863140301	345	6587	0.89573651094307	0			4.12900000000002				initdesign			
153	0.0103655933053622	0.11578001315128	9	2862	0.892695805550243	13			1.58699999999999	-0.0148002680896641		0.05499999999995	infill_ei	0.471000000000004	0.0605225718909971	0.903244362428802
914	0.0121176082421938	0.124946312360427	1731	6125	0.891463856722818	0			7.08199999999999				initdesign			
1500	0.0122686486644889	0.990269855220228	49	6551	0.889838452464891	1			9.60199999999998	-0.0471000189979316		0.0500000000000682	infill_ei	0.449999999999932	0.0618627472586736	0.961394215879285
1702	0.0289145463165421	0.860260376723986	149	7072	0.886014872812161	0			9.80599999999998				initdesign			
606	0.17259511026898	0.472796052372218	1810	7547	0.5	0			5.368				initdesign			
1860	0.0658562397355209	0.60719232046418	1035	7816	0.5	0			11.765				initdesign			
