num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
2042	0.0106813864740111	0.333513921597211	1076	216	0.930297740953476	144			40.942	-0.000712141943088367		0.437999999999647	infill_ei	0.893000000000029	0.00301202750261584	0.928800343465316	164
2047	0.011064188648102	0.573447671055003	1442	228	0.929953239726589	46			42.5940000000001	-0.00639182717976084		0.103000000000065	infill_ei	0.596000000000004	0.0108711384948663	0.932258556060636	66
1294	0.0109790222696822	0.773679149918596	58	228	0.929829049268773	185			23.4639999999999	-0.000280823200534413		0.623000000000047	infill_ei	0.990999999999985	0.0013026619954096	0.929719139623775	205
1374	0.0104752353432245	0.575828324265558	1177	225	0.929404300019619	191			27.27	-0.000206541797624473		0.753000000000156	infill_ei	1.02100000000019	0.00127404205846661	0.929502399974992	211
1291	0.0107602588974984	0.717890183502014	845	311	0.929313885246057	110			22.1280000000002	-0.00131779004243991		0.268000000000029	infill_ei	0.808999999999742	0.00437104992547871	0.929022451380288	130
1464	0.0106188206483317	0.60249252696294	1362	183	0.92916486010604	204			31.5740000000005	-0.000217759950784791		0.759000000000015	infill_ei	1.06299999999965	0.00100570450688302	0.929853937955028	224
2047	0.0105666308518351	0.384954333370319	1803	218	0.92900856071272	166			41.1089999999999	-0.000297058747013012		0.550000000000182	infill_ei	0.952999999999975	0.00219949863852166	0.928685453410292	186
2048	0.0393077590131875	0.584690717002135	573	304	0.928921259381129	217			34.9200000000001	-0.000456385598038431		0.878999999999905	infill_ei	1.14699999999993	0.00205906913899946	0.929420840035779	237
1314	0.0126496287470991	0.126151816094044	12	377	0.928812150782196	115			13.8610000000003	-0.000864857160740402		0.310999999999694	infill_ei	0.81899999999996	0.00709104491060987	0.924338897577876	135
1397	0.0101161768010174	0.321014245950672	998	159	0.92877097316656	271			27.6480000000001	-0.000687765836475189		0.892000000000735	infill_ei	1.23199999999997	0.001711690973251	0.930307518544359	291
