envios	tipo	var_ganancia	sd_ganancia	n
4000	public	35484089092222.3	5956852.280544	10
4500	public	22178105556172.9	4709363.60415852	10
5000	public	96808963443703.8	9839154.61021443	10
5500	public	49585725722839.6	7041713.26616184	10
6000	public	67661404368148.2	8225655.25463767	10
6500	public	75307656149814.9	8677998.39535678	10
7000	public	39719837404568	6302367.60309711	10
7500	public	40365077513580.3	6353351.67557883	10
8000	public	50745402490308.7	7123580.73515761	10
8500	public	14164188775679.1	3763534.08057893	10
9000	public	35040424004259.3	5919495.24911198	10
9500	public	29665539580247	5446608.08028694	10
10000	public	54107914873086.5	7355808.2406413	10
10500	public	49873379407839.6	7062108.7082995	10
11000	public	33006577090123.5	5745135.08023297	10
11500	public	72828275717592.7	8533948.42482615	10
12000	public	85934369516111.2	9270079.26158731	10
12500	public	87647413268148.2	9362019.72162782	10
13000	public	145629941589815	12067723.1319671	10
13500	public	121681185352222	11030919.5152636	10
14000	public	46723276099568	6835442.64108536	10
14500	public	21556390998456.9	4642886.06348001	10
15000	public	39422191803703.8	6278709.40589734	10
15500	public	67343689533456.9	8206320.09694094	10
16000	public	90495676060370.4	9512921.53128419	10
16500	public	93233115365432.2	9655729.6650969	10
17000	public	80311508652222.3	8961668.85419352	10
17500	public	62299035042037.1	7892973.77684971	10
18000	public	55832164893456.9	7472092.40396938	10
18500	public	36998459612345.8	6082635.90989513	10
19000	public	36875964623395.1	6072558.32605955	10
4000	private	31742282015340.2	5634028.93277451	10
4500	private	20272713837120.2	4502523.05236966	10
5000	private	20437201528957	4520752.31891297	10
5500	private	23553500827551.2	4853194.90928926	10
6000	private	14364702543265.3	3790079.49036235	10
6500	private	10610839425850.4	3257428.34546678	10
7000	private	40213789731712.1	6341434.35917396	10
7500	private	13738369419387.8	3706530.6446039	10
8000	private	30143009672211	5490264.99107384	10
8500	private	23974137777358.3	4896339.22204726	10
9000	private	24446063022732.5	4944296.0088098	10
9500	private	24161243549093.1	4915408.78758757	10
10000	private	38220910659455.9	6182306.25733277	10
10500	private	35252242687245	5937359.90885216	10
11000	private	34131139530839.1	5842186.19446856	10
11500	private	29983256305669.1	5475696.8785415	10
12000	private	41665791627902.5	6454904.46311195	10
12500	private	20071475277857.2	4480120.00708209	10
13000	private	26652326402154.3	5162589.11808351	10
13500	private	29650764106508	5445251.5191227	10
14000	private	43552471918027.3	6599429.66611717	10
14500	private	30635586092347	5534942.28446395	10
15000	private	16468088915068.1	4058089.31827136	10
15500	private	39108603455328.9	6253687.18879741	10
16000	private	20537006971156.5	4531777.46266921	10
16500	private	37145698007823.2	6094727.06590075	10
17000	private	24985332613900.3	4998533.04619469	10
17500	private	18130604974104.4	4258004.81142335	10
18000	private	21592120775986.5	4646732.26859333	10
18500	private	20707890109512.5	4550592.28117753	10
19000	private	14886446896893.5	3858295.85398703	10
