rank	envios	tipo	mean	sd	n
1	4000	public	261286666.5	7560533.6240405	10
1	4500	public	279555833.4	5477725.69817479	10
1	5000	public	297091666.8	8778861.60450133	10
1	5500	public	316231666.6	6155226.93530156	10
1	6000	public	330724166.7	8186203.3378698	10
1	6500	public	341980833.4	9372445.49004958	10
1	7000	public	354099166.7	6880151.78634514	10
1	7500	public	362835000	5511497.25708132	10
1	8000	public	375283333.4	8998079.37949834	10
1	8500	public	377565833.4	6241184.57299555	10
1	9000	public	381140833.3	5070279.78998238	10
1	9500	public	385687499.9	5614453.31928076	10
1	10000	public	387328333.3	5649258.65377786	10
1	10500	public	384239166.6	6478649.69991414	10
1	11000	public	383524166.6	6585619.01384795	10
1	11500	public	381938333.2	5432396.37543843	10
1	12000	public	382671666.8	7965710.77883819	10
1	12500	public	385925833.3	8156725.33762141	10
1	13000	public	390674166.7	11730026.6231977	10
1	13500	public	395862499.9	10105646.6410134	10
1	14000	public	395871666.6	5182784.53199261	10
1	14500	public	393680833.4	4740160.39842953	10
1	15000	public	392727499.9	7098371.85400399	10
1	15500	public	389601666.6	9945051.86976027	10
1	16000	public	388703333.4	8277364.19075661	10
1	16500	public	384156666.8	9632204.44048038	10
1	17000	public	381699999.9	10967103.5397616	10
1	17500	public	380040833.3	8361671.62904865	10
1	18000	public	375750833.3	8000125.01310889	10
1	18500	public	371635000.1	7086755.06218171	10
1	19000	public	368270833.3	5781099.90338355	10
1	4000	private	265005714.2	5723568.94683586	10
1	4500	private	281690357.2	3255901.35690499	10
1	5000	private	298532142.8	4540593.25843538	10
1	5500	private	310600714.2	4547567.29150554	10
1	6000	private	325761071.4	5525769.8694821	10
1	6500	private	334451071.5	4697196.27252462	10
1	7000	private	343243214.4	5781824.17406837	10
1	7500	private	353170714.3	5055637.04183514	10
1	8000	private	359935714.4	5415795.30611456	10
1	8500	private	362571785.9	3126031.09987425	10
1	9000	private	365125357.1	2861568.77419838	10
1	9500	private	366791071.6	4781510.51980653	10
1	10000	private	367973571.4	6986998.68651585	10
1	10500	private	367411785.6	6583820.2798332	10
1	11000	private	370075357.2	6986096.45996346	10
1	11500	private	369183571.5	5864216.73313644	10
1	12000	private	368712142.8	7150076.81308818	10
1	12500	private	371403214.4	6610033.39149751	10
1	13000	private	371096785.7	7142331.9695832	10
1	13500	private	371230357.2	5687352.63986917	10
1	14000	private	367769285.8	5374640.55249733	10
1	14500	private	367136785.7	3582118.54042769	10
1	15000	private	365345357.2	5162117.33090257	10
1	15500	private	360085000	5658561.38355024	10
1	16000	private	355912857.1	3126017.34108393	10
1	16500	private	352361428.5	4143015.5022279	10
1	17000	private	347600000.1	4605839.1160365	10
1	17500	private	343439642.9	4022410.65179412	10
1	18000	private	338049643	5237422.58466753	10
1	18500	private	333842142.9	5516182.98121696	10
1	19000	private	331041071.4	4686494.54051014	10
2	4000	public	259874999.9	7902496.21708933	10
2	4500	public	276732500	5626281.06207877	10
2	5000	public	287631666.6	7845914.74659675	10
2	5500	public	306175833.3	6917368.85231304	10
2	6000	public	325215000	4812825.11353331	10
2	6500	public	339120833.3	3365067.16427203	10
2	7000	public	350166666.6	6518295.74868186	10
2	7500	public	356125000	7726266.90877808	10
2	8000	public	362880833.4	7419408.66914292	10
2	8500	public	368720000	6466987.71892991	10
2	9000	public	376117500	8016563.07024771	10
2	9500	public	377180833.4	5882884.90005406	10
2	10000	public	379362499.9	8160936.37478394	10
2	10500	public	378803333.4	8493147.36627763	10
2	11000	public	380508333.4	8442406.5133361	10
2	11500	public	384624166.7	6825792.26356695	10
2	12000	public	389528333.3	10933356.6744444	10
2	12500	public	391655000.1	9708322.81379815	10
2	13000	public	388199166.7	7907864.0477434	10
2	13500	public	386842500.1	8613030.67087708	10
2	14000	public	383826666.8	9203037.05927131	10
2	14500	public	380050000	7364586.0518304	10
2	15000	public	378005833.3	9231222.23230944	10
2	15500	public	374128333.4	7371580.81636648	10
2	16000	public	373560000	7772867.30870697	10
2	16500	public	371690000.1	8301422.20890456	10
2	17000	public	365612499.9	7459968.49931704	10
2	17500	public	367051666.8	8782561.87395663	10
2	18000	public	363137499.9	8499636.07715859	10
2	18500	public	362303333.2	6923541.05657639	10
2	19000	public	359223333.4	8302434.1672105	10
2	4000	private	264982142.8	6394017.30763002	10
2	4500	private	282271785.5	3793934.64777945	10
2	5000	private	294100714.1	3448739.87954404	10
2	5500	private	305324642.9	3058653.5768922	10
2	6000	private	319007857.1	3880647.21693306	10
2	6500	private	330176785.7	3016129.27532937	10
2	7000	private	339428571.4	4163956.25396338	10
2	7500	private	344889285.7	5385598.63507887	10
2	8000	private	350479642.8	5581707.65946358	10
2	8500	private	352220000	6601590.01236697	10
2	9000	private	356749642.8	7607881.32872568	10
2	9500	private	359593928.7	4703726.61069412	10
2	10000	private	362901785.8	4312580.36262828	10
2	10500	private	367384285.6	3339989.24107193	10
2	11000	private	367910714.4	5374155.58136332	10
2	11500	private	369132500	5368071.7150241	10
2	12000	private	370330714.3	6370296.95382123	10
2	12500	private	371147857.2	5471089.4471285	10
2	13000	private	372943214.2	7354849.39499674	10
2	13500	private	372267499.9	5238240.97336553	10
2	14000	private	370731428.6	6578081.02273417	10
2	14500	private	368892857.1	6758107.12490399	10
2	15000	private	365368928.6	5136407.44959491	10
2	15500	private	360116428.5	4765414.62298	10
2	16000	private	355331428.6	6491746.79328787	10
2	16500	private	350004285.6	5895411.47757	10
2	17000	private	345223214.3	6588434.1185366	10
2	17500	private	339892142.9	5841703.37700966	10
2	18000	private	335283928.5	3865613.66069515	10
2	18500	private	329198571.2	3092206.99487616	10
2	19000	private	322975714.2	3813156.9803544	10
3	4000	public	261167499.9	5365341.62842325	10
3	4500	public	275696666.6	6082351.87603864	10
3	5000	public	286733333.4	6797907.23047892	10
3	5500	public	302197500.1	9367662.74939262	10
3	6000	public	314214999.9	5569968.52277384	10
3	6500	public	332163333.3	6914905.17045749	10
3	7000	public	347719166.5	7042515.35045681	10
3	7500	public	355070833.4	10391966.2291908	10
3	8000	public	359452499.9	8218939.06744555	10
3	8500	public	361295000	8715695.59079948	10
3	9000	public	371305000	9030518.72486424	10
3	9500	public	374100833.5	9690539.3328452	10
3	10000	public	377620833.5	10102689.8014836	10
3	10500	public	380389166.8	7133011.03828851	10
3	11000	public	377923333.5	6815710.87798054	10
3	11500	public	379839166.6	6090152.37116041	10
3	12000	public	378950000.1	8162509.41141008	10
3	12500	public	382350833.3	7303410.57467564	10
3	13000	public	385375833.2	7429267.66443885	10
3	13500	public	387456666.7	8207997.95134352	10
3	14000	public	391389166.6	9417363.97953729	10
3	14500	public	389885833.4	6728614.84949463	10
3	15000	public	391178333.3	9502846.70514481	10
3	15500	public	389033333.4	8180903.9834495	10
3	16000	public	385329999.9	9221523.12818117	10
3	16500	public	380489999.9	9158596.36947109	10
3	17000	public	374036666.4	5190344.76924031	10
3	17500	public	367125000	5897142.85841819	10
3	18000	public	360396666.8	5014873.32456978	10
3	18500	public	353760000.1	6494877.79418197	10
3	19000	public	347957499.9	6794672.07621322	10
3	4000	private	270556785.8	4479737.29055158	10
3	4500	private	284601428.6	4018518.71146278	10
3	5000	private	301400000	5292420.66258229	10
3	5500	private	313786785.6	3506153.12287135	10
3	6000	private	322622142.8	4254433.02708483	10
3	6500	private	336458571.5	7137450.23437544	10
3	7000	private	343306071.5	6105163.73853477	10
3	7500	private	346283928.6	4100054.26892906	10
3	8000	private	347548928.4	3829547.67570518	10
3	8500	private	348802143	6875715.87447503	10
3	9000	private	354412142.8	8308310.97142578	10
3	9500	private	360756785.8	6497519.93641454	10
3	10000	private	367891071.4	6342186.01574226	10
3	10500	private	373147500.1	5190872.18318955	10
3	11000	private	379389999.9	5213082.51737158	10
3	11500	private	382340357.2	5392155.45138326	10
3	12000	private	383192857.2	3218392.78328222	10
3	12500	private	380478214.2	3420913.7416851	10
3	13000	private	377767499.8	3512769.34890325	10
3	13500	private	377504285.5	3000370.30853227	10
3	14000	private	378176071.4	4351366.7217462	10
3	14500	private	376777500	4540784.04032906	10
3	15000	private	371509285.7	4320126.74656859	10
3	15500	private	366614285.8	5063710.35942964	10
3	16000	private	358615714.3	4676749.42452269	10
3	16500	private	352047142.7	4231881.76573509	10
3	17000	private	345227142.8	4532511.64670132	10
3	17500	private	339860714.3	4880994.07610531	10
3	18000	private	332530000.2	5281269.0848227	10
3	18500	private	328145714.2	3770646.48335955	10
3	19000	private	323089642.9	2778194.35803351	10
4	4000	public	257858333.4	3770857.77196911	10
4	4500	public	271195833.3	6210712.71906082	10
4	5000	public	289703333.4	5231375.1505274	10
4	5500	public	307349166.7	6357971.6465791	10
4	6000	public	322373333.4	11175215.6237214	10
4	6500	public	335197500.1	7268119.18607729	10
4	7000	public	345363333.3	7790672.03263772	10
4	7500	public	352302500	8578447.19962711	10
4	8000	public	357921666.6	6574373.9428834	10
4	8500	public	362651666.7	8404255.4845304	10
4	9000	public	368976666.5	8548000.62425257	10
4	9500	public	369471666.6	11855571.3256482	10
4	10000	public	375851666.6	14267828.1914545	10
4	10500	public	379445000	6242642.88681851	10
4	11000	public	381067500	6342681.12789249	10
4	11500	public	383909166.6	5429344.90103958	10
4	12000	public	383826666.8	7028016.90955477	10
4	12500	public	390582500.1	6091746.34493668	10
4	13000	public	392516666.8	10452233.3873947	10
4	13500	public	399648333.3	9262295.5994441	10
4	14000	public	401032500	8515790.08999108	10
4	14500	public	397934166.8	5182468.96202435	10
4	15000	public	395798333.5	10759356.865188	10
4	15500	public	390949166.7	9092878.45528196	10
4	16000	public	384715833.4	8058149.47165482	10
