rank	num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	iter
1	2042	0.0106813864740111	0.333513921597211	1076	216	0.930297740953476	164
2	2047	0.011064188648102	0.573447671055003	1442	228	0.929953239726589	66
3	1294	0.0109790222696822	0.773679149918596	58	228	0.929829049268773	205
4	1374	0.0104752353432245	0.575828324265558	1177	225	0.929404300019619	211
5	1291	0.0107602588974984	0.717890183502014	845	311	0.929313885246057	130
6	1464	0.0106188206483317	0.60249252696294	1362	183	0.92916486010604	224
7	2047	0.0105666308518351	0.384954333370319	1803	218	0.92900856071272	186
8	2048	0.0393077590131875	0.584690717002135	573	304	0.928921259381129	237
9	1314	0.0126496287470991	0.126151816094044	12	377	0.928812150782196	135
10	1397	0.0101161768010174	0.321014245950672	998	159	0.92877097316656	291
