envios	rank_ganador	rank_resto	statistic	p.value	mean_ganador	mean_resto	p_adj_holm
4000	9	1	0	0.00592153702414871	248114166.7	261286666.5	0.0532938332173384
4000	9	2	0	0.00592153702414871	248114166.7	259874999.9	0.0532938332173384
4000	9	3	0	0.00592153702414871	248114166.7	261167499.9	0.0532938332173384
4000	9	4	0	0.00592153702414871	248114166.7	257858333.4	0.0532938332173384
4000	9	5	3	0.023891750538074	248114166.7	253293333.4	0.0532938332173384
4000	9	6	2	0.0108269212771313	248114166.7	257069999.8	0.0532938332173384
4000	9	7	3	0.0144328239388418	248114166.7	259031666.8	0.0532938332173384
4000	9	8	36	0.414823067184775	248114166.7	242861666.7	0.414823067184775
4000	9	10	0	0.00915168885265007	248114166.7	252706666.7	0.0532938332173384
4500	9	1	0	0.00592153702414871	265659166.6	279555833.4	0.0532938332173384
4500	9	2	0	0.00592153702414871	265659166.6	276732500	0.0532938332173384
4500	9	3	2	0.0108269212771313	265659166.6	275696666.6	0.0649615276627879
4500	9	4	10	0.0831311427008039	265659166.6	271195833.3	0.332728606718581
4500	9	5	9	0.0665457213437161	265659166.6	270490000.1	0.332728606718581
4500	9	6	26	0.918812683274642	265659166.6	266374166.7	1
4500	9	7	0	0.00592153702414871	265659166.6	282736666.7	0.0532938332173384
4500	9	8	24	0.759765825978067	265659166.6	267556666.7	1
4500	9	10	15	0.22127181567247	265659166.6	270865833.3	0.663815447017409
5000	9	1	1	0.00804523748656169	278428333.5	297091666.8	0.0563166624059318
5000	9	2	11	0.102917539402853	278428333.5	287631666.6	0.411670157611412
5000	9	3	3.5	0.0165344926679227	278428333.5	286733333.4	0.099206956007536
5000	9	4	6	0.0323129112432441	278428333.5	289703333.4	0.161564556216221
5000	9	5	21	0.540817904242618	278428333.5	282296666.7	0.717902871705253
5000	9	6	15	0.22127181567247	278428333.5	283790833.2	0.663815447017409
5000	9	7	0	0.00592153702414871	278428333.5	301409166.5	0.0532938332173384
5000	9	8	18	0.358951435852626	278428333.5	283103333.3	0.717902871705253
5000	9	10	0	0.00592153702414871	278428333.5	295735000.1	0.0532938332173384
5500	9	1	0	0.00592153702414871	284725833.3	316231666.6	0.0532938332173384
5500	9	2	0	0.00592153702414871	284725833.3	306175833.3	0.0532938332173384
5500	9	3	0	0.00592153702414871	284725833.3	302197500.1	0.0532938332173384
5500	9	4	0	0.00592153702414871	284725833.3	307349166.7	0.0532938332173384
5500	9	5	4	0.0190588916017305	284725833.3	296248333.2	0.0532938332173384
5500	9	6	0	0.00592153702414871	284725833.3	300978333.4	0.0532938332173384
5500	9	7	0	0.00592153702414871	284725833.3	316039166.6	0.0532938332173384
5500	9	8	6	0.0323129112432441	284725833.3	294497500.1	0.0532938332173384
5500	9	10	0	0.00592153702414871	284725833.3	314361666.7	0.0532938332173384
6000	9	1	0	0.00592153702414871	288777500.1	330724166.7	0.0530034303763573
6000	9	2	0	0.00588927004181748	288777500.1	325215000	0.0530034303763573
6000	9	3	0	0.00588927004181748	288777500.1	314214999.9	0.0530034303763573
6000	9	4	0	0.00592153702414871	288777500.1	322373333.4	0.0530034303763573
6000	9	5	0	0.00592153702414871	288777500.1	306863333.4	0.0530034303763573
6000	9	6	0	0.00592153702414871	288777500.1	322244999.9	0.0530034303763573
6000	9	7	0	0.00588927004181748	288777500.1	330834166.6	0.0530034303763573
6000	9	8	0	0.00592153702414871	288777500.1	309961666.7	0.0530034303763573
6000	9	10	0	0.00592153702414871	288777500.1	329367500.1	0.0530034303763573
6500	9	1	0	0.00592153702414871	288163333.3	341980833.4	0.0530034303763573
6500	9	2	0	0.00592153702414871	288163333.3	339120833.3	0.0530034303763573
6500	9	3	0	0.00588927004181748	288163333.3	332163333.3	0.0530034303763573
6500	9	4	0	0.00592153702414871	288163333.3	335197500.1	0.0530034303763573
6500	9	5	0	0.00592153702414871	288163333.3	321181666.6	0.0530034303763573
6500	9	6	0	0.00592153702414871	288163333.3	340285000	0.0530034303763573
6500	9	7	0	0.00592153702414871	288163333.3	343704166.7	0.0530034303763573
6500	9	8	0	0.00592153702414871	288163333.3	322080000.1	0.0530034303763573
6500	9	10	0	0.00588927004181748	288163333.3	340844166.8	0.0530034303763573
7000	9	1	0	0.00588927004181748	295643333.4	354099166.7	0.0530034303763573
7000	9	2	0	0.00592153702414871	295643333.4	350166666.6	0.0530034303763573
7000	9	3	0	0.00592153702414871	295643333.4	347719166.5	0.0530034303763573
7000	9	4	0	0.00592153702414871	295643333.4	345363333.3	0.0530034303763573
7000	9	5	0	0.00592153702414871	295643333.4	332960833.5	0.0530034303763573
7000	9	6	0	0.00592153702414871	295643333.4	352806666.6	0.0530034303763573
7000	9	7	0	0.00592153702414871	295643333.4	354786666.6	0.0530034303763573
7000	9	8	0	0.00592153702414871	295643333.4	340220833.3	0.0530034303763573
7000	9	10	0	0.00592153702414871	295643333.4	347535833.2	0.0530034303763573
7500	9	1	0	0.00592153702414871	306276666.7	362835000	0.0532938332173384
7500	9	2	0	0.00592153702414871	306276666.7	356125000	0.0532938332173384
7500	9	3	0	0.00592153702414871	306276666.7	355070833.4	0.0532938332173384
7500	9	4	0	0.00592153702414871	306276666.7	352302500	0.0532938332173384
7500	9	5	0	0.00592153702414871	306276666.7	345253333.3	0.0532938332173384
7500	9	6	0	0.00592153702414871	306276666.7	353869999.9	0.0532938332173384
7500	9	7	0	0.00592153702414871	306276666.7	360204166.7	0.0532938332173384
7500	9	8	0	0.00592153702414871	306276666.7	351523333.3	0.0532938332173384
7500	9	10	0	0.00592153702414871	306276666.7	352375833.3	0.0532938332173384
8000	9	1	0	0.00592153702414871	324674166.7	375283333.4	0.0530034303763573
8000	9	2	0	0.00592153702414871	324674166.7	362880833.4	0.0530034303763573
8000	9	3	0	0.00588927004181748	324674166.7	359452499.9	0.0530034303763573
8000	9	4	0	0.00592153702414871	324674166.7	357921666.6	0.0530034303763573
8000	9	5	0	0.00592153702414871	324674166.7	350001666.8	0.0530034303763573
8000	9	6	0	0.00592153702414871	324674166.7	357591666.4	0.0530034303763573
8000	9	7	0	0.00588927004181748	324674166.7	368610000	0.0530034303763573
8000	9	8	0	0.00592153702414871	324674166.7	364870000	0.0530034303763573
8000	9	10	0	0.00592153702414871	324674166.7	357994999.9	0.0530034303763573
8500	9	1	0	0.00592153702414871	340725000.1	377565833.4	0.0530034303763573
8500	9	2	0	0.00592153702414871	340725000.1	368720000	0.0530034303763573
8500	9	3	0	0.00592153702414871	340725000.1	361295000	0.0530034303763573
8500	9	4	0	0.00588927004181748	340725000.1	362651666.7	0.0530034303763573
8500	9	5	3	0.0144328239388418	340725000.1	354255000	0.0530034303763573
8500	9	6	0	0.00592153702414871	340725000.1	365621666.8	0.0530034303763573
8500	9	7	0	0.00592153702414871	340725000.1	374412499.9	0.0530034303763573
8500	9	8	0	0.00592153702414871	340725000.1	367574166.7	0.0530034303763573
8500	9	10	0	0.00592153702414871	340725000.1	366904999.9	0.0530034303763573
9000	9	1	0	0.00592153702414871	355767500	381140833.3	0.0532938332173384
9000	9	2	1	0.00804523748656169	355767500	376117500	0.0532938332173384
9000	9	3	2	0.0108269212771313	355767500	371305000	0.0532938332173384
9000	9	4	1	0.00804523748656169	355767500	368976666.5	0.0532938332173384
9000	9	5	33	0.610298655976554	355767500	351945000	0.610298655976554
9000	9	6	0	0.00592153702414871	355767500	371919166.8	0.0532938332173384
9000	9	7	0	0.00592153702414871	355767500	380480833.3	0.0532938332173384
9000	9	8	0	0.00592153702414871	355767500	372588333.3	0.0532938332173384
9000	9	10	0	0.00592153702414871	355767500	375173333.4	0.0532938332173384
9500	9	1	1	0.00804523748656169	372753333.4	385687499.9	0.0724071373790552
9500	9	2	11	0.102917539402853	372753333.4	377180833.4	0.514587697014265
9500	9	3	18	0.358639170461244	372753333.4	374100833.5	1
9500	9	4	31	0.759765825978067	372753333.4	369471666.6	1
9500	9	5	52	0.0144328239388418	372753333.4	359104166.5	0.101029767571893
9500	9	6	24	0.759765825978067	372753333.4	375045000.1	1
9500	9	7	1	0.00804523748656169	372753333.4	386320000.1	0.0724071373790552
9500	9	8	11	0.102917539402853	372753333.4	378555833.3	0.514587697014265
9500	9	10	7	0.0414910873877315	372753333.4	379995000	0.248946524326389
10000	9	1	30	0.838463781922464	387511666.5	387328333.3	1
10000	9	2	44	0.102917539402853	387511666.5	379362499.9	0.514587697014265
10000	9	3	50	0.0248385017048833	387511666.5	377620833.5	0.173869511934183
10000	9	4	48	0.0414910873877314	387511666.5	375851666.6	0.248946524326389
10000	9	5	55	0.00592153702414877	387511666.5	363412500	0.0532938332173389
10000	9	6	51	0.0190588916017305	387511666.5	376979166.7	0.152471132813844
10000	9	7	32	0.683480902201426	387511666.5	385880000	1
10000	9	8	33	0.610298655976554	387511666.5	385073333.4	1
10000	9	10	31	0.343252562436031	387511666.5	383570000	1
10500	9	1	46	0.0665457213437162	394625000	384239166.6	0.266182885374865
10500	9	2	48	0.0414910873877314	394625000	378803333.4	0.207455436938657
10500	9	3	54	0.00804523748656161	394625000	380389166.8	0.0724071373790545
10500	9	4	53	0.0108269212771313	394625000	379445000	0.0757884489399188
10500	9	5	54	0.00804523748656161	394625000	370883333.4	0.0724071373790545
10500	9	6	50	0.0249324556028632	394625000	380801666.7	0.149594733617179
10500	9	7	46	0.0665457213437162	394625000	383368333.3	0.266182885374865
10500	9	8	32	0.683480902201426	394625000	391930000	0.683480902201426
10500	9	10	41	0.185143724157873	394625000	388364166.6	0.370287448315746
11000	9	1	53	0.0108269212771313	402856666.8	383524166.6	0.08661537021705
11000	9	2	50	0.0249324556028632	402856666.8	380508333.4	0.08661537021705
11000	9	3	54	0.00800430976224065	402856666.8	377923333.5	0.0720387878601658
11000	9	4	53	0.0108269212771313	402856666.8	381067500	0.08661537021705
