Feature	Gain	Cover	Frequency
ctrx_quarter	0.1000900745686	0.0217544155407496	0.0240805147029293
mpasivos_margen	0.048409672774459	0.018373281803453	0.0227230740809163
mcaja_ahorro	0.044542607806571	0.0155258043988453	0.0239439674214251
mpayroll	0.037771851295573	0.0155764131964269	0.00853018899750199
mprestamos_personales	0.0356244476782573	0.023935533037061	0.00801612864360356
mcuentas_saldo	0.0354546787869106	0.0217817264501778	0.0257431786600696
cpayroll_trx	0.033520985221869	0.00689507876747513	0.00252210861131415
mtarjeta_visa_consumo	0.0298579019658785	0.0091517591421021	0.0136547281504269
mcuenta_corriente	0.0221560247949101	0.0146566987838567	0.0201768688905132
ctarjeta_visa_transacciones	0.0217627572443545	0.0174895973976997	0.0158234202684359
mrentabilidad_annual	0.0213203732717037	0.0293810525450061	0.0274460035823581
cliente_edad	0.0186407304349693	0.0290141416055175	0.0308195246548165
cproductos	0.0180011775422758	0.0113995169884759	0.0100482734801083
Visa_mpagominimo	0.0172266991265911	0.0156930735317554	0.0209318950353015
mactivos_margen	0.017201275197234	0.022272737166434	0.022040337673395
Visa_mpagospesos	0.0167035808621241	0.0143783756680728	0.0213977622310219
Visa_msaldototal	0.0158539388042559	0.0100813355291842	0.0171888930834786
Master_fechaalta	0.0158444792876075	0.0191515018368062	0.0282331584992651
Master_Fvencimiento	0.0157185201805958	0.0172783736149689	0.025614663571595
mautoservicio	0.0154711971605736	0.0131616882045751	0.0153334564936265
Visa_fechaalta	0.0144373992320033	0.0138398540525065	0.0237913557538615
Visa_Fvencimiento	0.0140144808510339	0.017968628120895	0.0247873476895397
numero_de_cliente	0.0134626114890397	0.0235788896702673	0.0261046273464044
mcomisiones_otras	0.0133188566062088	0.013093712286664	0.0211086032819541
Visa_msaldopesos	0.0132789108792679	0.0138811587310211	0.0174941164186058
mrentabilidad	0.0132167748854071	0.0151463496090086	0.0208917340701532
cprestamos_personales	0.0127657874471282	0.0141126317819177	0.00530124739957751
cliente_antiguedad	0.0123273048709074	0.0180945676202622	0.0235343255769123
