Feature	Gain	Cover	Frequency
ctrx_quarter	0.222227403482442	0.028967166085543	0.0272356998861751
mcuentas_saldo	0.0522151976068571	0.0224099271587312	0.029813903097958
mcaja_ahorro	0.0464009333771779	0.0150744538012709	0.0235192473840837
mprestamos_personales	0.0388322807040411	0.0231928896543738	0.00847515736639285
mpayroll	0.0331520002438147	0.0200527858027467	0.0104636651627148
cpayroll_trx	0.0308066871677524	0.0112375483282253	0.00470384947681674
mtarjeta_visa_consumo	0.0302108451666987	0.00971117623118255	0.0127813052839452
mrentabilidad_annual	0.0280170637709395	0.0284443057872165	0.0354091526214018
mcuenta_corriente	0.022619616726094	0.0135468849081189	0.0206941949286194
Visa_mpagominimo	0.0203111819131909	0.016472827337275	0.0235329612309549
cliente_edad	0.0201862447296476	0.0336776030529372	0.0425403529944185
mpasivos_margen	0.018102455314974	0.0159135514495749	0.0215033118940194
cproductos	0.0161584185161863	0.0161140826113359	0.0154417915769553
Master_fechaalta	0.0155341460255768	0.0203743314824985	0.0315281339568562
Master_Fvencimiento	0.0142629893242014	0.016995733838191	0.0274688352829852
Visa_fechaalta	0.013978653498596	0.0129419648363905	0.0238758074027345
mactivos_margen	0.0139362275505513	0.0255618062122592	0.0239580904839617
numero_de_cliente	0.0127743397860819	0.0246347353558969	0.0279762476172191
Visa_Fvencimiento	0.012694347240866	0.0161087931600391	0.0248357766837176
mrentabilidad	0.0126274973493398	0.0147311531602821	0.0204473456849381
Visa_status	0.0119357757144414	0.0130794577811744	0.00311304323975919
chomebanking_transacciones	0.0118663775997233	0.0193261586709867	0.0267420013988124
Visa_msaldopesos	0.0118502092422347	0.0129362054103659	0.0152223700270163
cliente_antiguedad	0.0109567962728265	0.0177861438931828	0.0221478626969651
Master_mfinanciacion_limite	0.0107734675815893	0.014114866257928	0.0227238442655549
ctarjeta_visa_transacciones	0.0104253669285256	0.0179048984587035	0.0147423853865248
mtransferencias_recibidas	0.00994191687087527	0.0138394113872366	0.0195422317914398
ctarjeta_master	0.00959853996413068	0.000297364337362106	0.00065826464981692
Master_status	0.00951110616992814	0.00308345450885658	0.00119310467779317
mcomisiones_mantenimiento	0.00891458932958749	0.0130769747645892	0.0107242282532673
Visa_mfinanciacion_limite	0.00843796511294942	0.0101226828239461	0.0162646223892264
Visa_mpagospesos	0.00831796816938584	0.0126876891333742	0.0185136932761009
Visa_msaldototal	0.00793888570932439	0.00654635001974647	0.0107242282532673
Visa_mconsumospesos	0.0078432864222098	0.00872885602019227	0.0172245916702094
mcomisiones_otras	0.00781258311269323	0.00927272955431321	0.0159629177580603
mcaja_ahorro_dolares	0.00760516029441774	0.0145756277919309	0.0155103608113112
ccaja_seguridad	0.00703453555260634	0.0166917158311361	0.00355188633963713
mtransferencias_emitidas	0.00684347199228465	0.0164225484870356	0.0160314869924162
Visa_cconsumos	0.00674722312894512	0.00930093300600127	0.0136589914837011
cprestamos_personales	0.00661636611564491	0.0102061669287904	0.00540325566724722
mcomisiones	0.00644431531507786	0.00963986824748353	0.0139744099617384
ccomisiones_otras	0.00623764880657289	0.0184130305638163	0.0134258560868909
mautoservicio	0.00605621185557346	0.0123575284094842	0.0147698130802671
