primo	envios	tipo	ganancia	rank
141871	4000	public	253641667	1
141871	4500	public	275825000	1
141871	5000	public	307266667	1
141871	5500	public	318816667	1
141871	6000	public	337975000	1
141871	6500	public	346316667	1
141871	7000	public	354750000	1
141871	7500	public	359516667	1
141871	8000	public	367583333	1
141871	8500	public	372166667	1
141871	9000	public	362358333	1
141871	9500	public	375283333	1
141871	10000	public	380600000	1
141871	10500	public	385183333	1
141871	11000	public	387841667	1
141871	11500	public	382341667	1
141871	12000	public	401591667	1
141871	12500	public	409108333	1
141871	13000	public	406633333	1
141871	13500	public	399758333	1
141871	14000	public	405900000	1
141871	14500	public	399941667	1
141871	15000	public	389216667	1
141871	15500	public	378858333	1
141871	16000	public	376200000	1
141871	16500	public	370333333	1
141871	17000	public	378033333	1
141871	17500	public	372441667	1
141871	18000	public	377116667	1
141871	18500	public	373541667	1
141871	19000	public	367308333	1
141871	4000	private	270010714	1
141871	4500	private	286432143	1
141871	5000	private	308314286	1
141871	5500	private	321435714	1
141871	6000	private	332867857	1
141871	6500	private	334792857	1
141871	7000	private	344535714	1
141871	7500	private	344850000	1
141871	8000	private	346892857	1
141871	8500	private	358285714	1
141871	9000	private	372703571	1
141871	9500	private	371092857	1
141871	10000	private	369600000	1
141871	10500	private	365278571	1
141871	11000	private	368067857	1
141871	11500	private	371210714	1
141871	12000	private	373175000	1
141871	12500	private	372310714	1
141871	13000	private	380442857	1
141871	13500	private	379460714	1
141871	14000	private	371328571	1
141871	14500	private	373096429	1
141871	15000	private	370621429	1
141871	15500	private	366417857	1
141871	16000	private	363628571	1
141871	16500	private	352785714	1
141871	17000	private	345557143	1
141871	17500	private	340882143	1
141871	18000	private	338092857	1
141871	18500	private	327839286	1
141871	19000	private	323439286	1
152267	4000	public	267300000	1
152267	4500	public	294525000	1
152267	5000	public	299841667	1
152267	5500	public	311941667	1
152267	6000	public	331100000	1
152267	6500	public	332383333	1
152267	7000	public	351266667	1
152267	7500	public	355300000	1
152267	8000	public	357408333	1
152267	8500	public	372166667	1
152267	9000	public	388300000	1
152267	9500	public	385458333	1
152267	10000	public	382158333	1
152267	10500	public	376475000	1
152267	11000	public	365841667	1
152267	11500	public	360066667	1
152267	12000	public	364375000	1
152267	12500	public	387108333	1
152267	13000	public	403241667	1
152267	13500	public	399391667	1
152267	14000	public	398016667	1
152267	14500	public	395541667	1
152267	15000	public	396825000	1
152267	15500	public	398750000	1
152267	16000	public	392333333	1
152267	16500	public	381791667	1
152267	17000	public	382616667	1
152267	17500	public	373266667	1
152267	18000	public	362633333	1
152267	18500	public	362908333	1
152267	19000	public	359883333	1
152267	4000	private	265728571	1
152267	4500	private	298846429	1
152267	5000	private	309925000	1
152267	5500	private	311810714	1
152267	6000	private	332671429	1
152267	6500	private	340764286	1
152267	7000	private	344457143	1
152267	7500	private	349800000	1
152267	8000	private	357539286	1
152267	8500	private	359857143	1
152267	9000	private	361585714	1
152267	9500	private	365160714	1
152267	10000	private	370503571	1
152267	10500	private	380010714	1
152267	11000	private	385353571	1
152267	11500	private	383900000	1
152267	12000	private	381267857	1
152267	12500	private	375453571	1
152267	13000	private	374039286	1
152267	13500	private	373332143	1
152267	14000	private	366850000	1
152267	14500	private	367125000	1
152267	15000	private	359503571	1
152267	15500	private	367321429	1
152267	16000	private	369285714	1
152267	16500	private	363589286	1
152267	17000	private	353021429	1
152267	17500	private	349957143	1
152267	18000	private	341157143	1
152267	18500	private	338682143	1
152267	19000	private	336050000	1
166297	4000	public	264458333	1
166297	4500	public	276833333	1
166297	5000	public	299841667	1
166297	5500	public	304700000	1
166297	6000	public	313225000	1
166297	6500	public	324958333	1
166297	7000	public	337975000	1
166297	7500	public	348975000	1
166297	8000	public	350075000	1
166297	8500	public	369691667	1
166297	9000	public	378491667	1
166297	9500	public	378766667	1
166297	10000	public	382800000	1
166297	10500	public	385825000	1
166297	11000	public	384266667	1
166297	11500	public	396091667	1
166297	12000	public	398933333	1
166297	12500	public	403608333	1
166297	13000	public	421666667	1
166297	13500	public	419191667	1
166297	14000	public	412958333	1
166297	14500	public	416716667	1
166297	15000	public	407458333	1
166297	15500	public	401866667	1
166297	16000	public	393525000	1
166297	16500	public	384266667	1
166297	17000	public	376383333	1
166297	17500	public	366116667	1
166297	18000	public	370333333	1
166297	18500	public	367033333	1
166297	19000	public	373083333	1
166297	4000	private	268517857	1
166297	4500	private	2.86e+08	1
166297	5000	private	298925000	1
166297	5500	private	316485714	1
166297	6000	private	329332143	1
166297	6500	private	337660714	1
166297	7000	private	337582143	1
166297	7500	private	350939286	1
166297	8000	private	354396429	1
166297	8500	private	356203571	1
166297	9000	private	365789286	1
166297	9500	private	371171429	1
166297	10000	private	370228571	1
166297	10500	private	374432143	1
166297	11000	private	374314286	1
166297	11500	private	374746429	1
166297	12000	private	379028571	1
166297	12500	private	377810714	1
166297	13000	private	383428571	1
166297	13500	private	383703571	1
166297	14000	private	377732143	1
166297	14500	private	375335714	1
166297	15000	private	372232143	1
166297	15500	private	361271429	1
166297	16000	private	357775000	1
166297	16500	private	356242857	1
166297	17000	private	350978571	1
166297	17500	private	349878571	1
166297	18000	private	347285714	1
166297	18500	private	341628571	1
166297	19000	private	330392857	1
188179	4000	public	271058333	1
188179	4500	public	280316667	1
188179	5000	public	300666667	1
188179	5500	public	312400000	1
188179	6000	public	320191667	1
188179	6500	public	328166667	1
188179	7000	public	335591667	1
188179	7500	public	358416667	1
188179	8000	public	355758333	1
188179	8500	public	366575000	1
188179	9000	public	367675000	1
188179	9500	public	369966667	1
188179	10000	public	375741667	1
188179	10500	public	395175000	1
188179	11000	public	396366667	1
188179	11500	public	400675000	1
188179	12000	public	404525000	1
188179	12500	public	398475000	1
188179	13000	public	407825000	1
188179	13500	public	408466667	1
188179	14000	public	404708333	1
188179	14500	public	407183333	1
188179	15000	public	395450000	1
188179	15500	public	394075000	1
188179	16000	public	386925000	1
188179	16500	public	379958333	1
188179	17000	public	380325000	1
188179	17500	public	381516667	1
188179	18000	public	378308333	1
188179	18500	public	386650000	1
188179	19000	public	392975000	1
188179	4000	private	268832143	1
188179	4500	private	290792857	1
188179	5000	private	2.97e+08	1
188179	5500	private	319471429	1
188179	6000	private	334203571	1
188179	6500	private	336285714	1
188179	7000	private	351175000	1
188179	7500	private	350035714	1
188179	8000	private	358246429	1
188179	8500	private	363825000	1
188179	9000	private	370425000	1
188179	9500	private	371800000	1
188179	10000	private	371682143	1
188179	10500	private	367282143	1
188179	11000	private	378557143	1
188179	11500	private	385353571	1
188179	12000	private	389203571	1
188179	12500	private	389439286	1
188179	13000	private	386217857	1
188179	13500	private	377300000	1
188179	14000	private	371839286	1
188179	14500	private	368421429	1
188179	15000	private	374235714	1
188179	15500	private	370896429	1
188179	16000	private	365317857	1
188179	16500	private	356517857	1
188179	17000	private	347717857	1
188179	17500	private	338564286	1
188179	18000	private	331296429	1
188179	18500	private	325364286	1
188179	19000	private	323439286	1
405157	4000	public	257125000	1
405157	4500	public	288016667	1
405157	5000	public	306625000	1
405157	5500	public	311025000	1
405157	6000	public	323583333	1
405157	6500	public	338616667	1
405157	7000	public	339625000	1
405157	7500	public	347691667	1
405157	8000	public	359333333	1
405157	8500	public	383258333	1
405157	9000	public	373725000	1
405157	9500	public	370425000	1
405157	10000	public	389216667	1
405157	10500	public	386375000	1
405157	11000	public	376383333	1
405157	11500	public	374733333	1
405157	12000	public	372075000	1
405157	12500	public	381791667	1
405157	13000	public	398658333	1
405157	13500	public	398750000	1
405157	14000	public	399025000	1
405157	14500	public	3.96e+08	1
405157	15000	public	396183333	1
405157	15500	public	397466667	1
405157	16000	public	393616667	1
405157	16500	public	387016667	1
405157	17000	public	377208333	1
405157	17500	public	370975000	1
405157	18000	public	370241667	1
405157	18500	public	360708333	1
405157	19000	public	365108333	1
405157	4000	private	263803571	1
405157	4500	private	274921429	1
405157	5000	private	297589286	1
405157	5500	private	312203571	1
405157	6000	private	331178571	1
405157	6500	private	334950000	1
405157	7000	private	338446429	1
405157	7500	private	353060714	1
405157	8000	private	356714286	1
405157	8500	private	370817857	1
405157	9000	private	369403571	1
405157	9500	private	376317857	1
405157	10000	private	378478571	1
405157	10500	private	378910714	1
405157	11000	private	379264286	1
405157	11500	private	387042857	1
405157	12000	private	379539286	1
405157	12500	private	374589286	1
405157	13000	private	382289286	1
405157	13500	private	376750000	1
405157	14000	private	375846429	1
405157	14500	private	371642857	1
405157	15000	private	362921429	1
405157	15500	private	360014286	1
405157	16000	private	365592857	1
405157	16500	private	358207143	1
405157	17000	private	349053571	1
405157	17500	private	347796429	1
405157	18000	private	341039286	1
405157	18500	private	330196429	1
405157	19000	private	324382143	1
491299	4000	public	246400000	1
491299	4500	public	276650000	1
491299	5000	public	291408333	1
491299	5500	public	307633333	1
491299	6000	public	327525000	1
491299	6500	public	331375000	1
491299	7000	public	343291667	1
491299	7500	public	346591667	1
491299	8000	public	361808333	1
491299	8500	public	378400000	1
491299	9000	public	382433333	1
491299	9500	public	386375000	1
491299	10000	public	376750000	1
491299	10500	public	379316667	1
491299	11000	public	371158333	1
491299	11500	public	379775000	1
491299	12000	public	380325000	1
491299	12500	public	381975000	1
491299	13000	public	397375000	1
491299	13500	public	398383333	1
491299	14000	public	400766667	1
491299	14500	public	405625000	1
491299	15000	public	399391667	1
491299	15500	public	404891667	1
491299	16000	public	390133333	1
491299	16500	public	377666667	1
491299	17000	public	364650000	1
491299	17500	public	365383333	1
491299	18000	public	362541667	1
491299	18500	public	364741667	1
491299	19000	public	359791667	1
491299	4000	private	268400000	1
491299	4500	private	279792857	1
491299	5000	private	302539286	1
491299	5500	private	316800000	1
491299	6000	private	326346429	1
491299	6500	private	330196429	1
491299	7000	private	351017857	1
491299	7500	private	358246429	1
491299	8000	private	361939286	1
491299	8500	private	357185714	1
491299	9000	private	357814286	1
491299	9500	private	364767857	1
491299	10000	private	369678571	1
491299	10500	private	377221429	1
491299	11000	private	376789286	1
491299	11500	private	380167857	1
491299	12000	private	380717857	1
491299	12500	private	380796429	1
491299	13000	private	376553571	1
491299	13500	private	375335714	1
491299	14000	private	375100000	1
491299	14500	private	375375000	1
491299	15000	private	370975000	1
491299	15500	private	361546429	1
491299	16000	private	362371429	1
491299	16500	private	354357143	1
491299	17000	private	346578571	1
491299	17500	private	336050000	1
491299	18000	private	341196429	1
491299	18500	private	339467857	1
491299	19000	private	329803571	1
531911	4000	public	257400000	1
531911	4500	public	294616667	1
531911	5000	public	306441667	1
531911	5500	public	330550000	1
531911	6000	public	334858333	1
531911	6500	public	339716667	1
531911	7000	public	344483333	1
531911	7500	public	347233333	1
531911	8000	public	357866667	1
531911	8500	public	365566667	1
531911	9000	public	373266667	1
531911	9500	public	378400000	1
531911	10000	public	394991667	1
531911	10500	public	379958333	1
531911	11000	public	381058333	1
531911	11500	public	385366667	1
531911	12000	public	379775000	1
531911	12500	public	384175000	1
531911	13000	public	397833333	1
531911	13500	public	401683333	1
531911	14000	public	417266667	1
531911	14500	public	420566667	1
531911	15000	public	414241667	1
531911	15500	public	410666667	1
531911	16000	public	400950000	1
531911	16500	public	391416667	1
531911	17000	public	381883333	1
531911	17500	public	374733333	1
531911	18000	public	371891667	1
531911	18500	public	365933333	1
531911	19000	public	361075000	1
531911	4000	private	268400000	1
531911	4500	private	276807143	1
531911	5000	private	300810714	1
531911	5500	private	321121429	1
531911	6000	private	320060714	1
531911	6500	private	343907143	1
531911	7000	private	347364286	1
531911	7500	private	348542857	1
531911	8000	private	357342857	1
531911	8500	private	362685714	1
531911	9000	private	366457143	1
531911	9500	private	371328571	1
531911	10000	private	368146429	1
531911	10500	private	369089286	1
531911	11000	private	374117857	1
531911	11500	private	380914286	1
531911	12000	private	382525000	1
531911	12500	private	376710714	1
531911	13000	private	371642857	1
531911	13500	private	373921429	1
531911	14000	private	374314286	1
531911	14500	private	378400000	1
531911	15000	private	375610714	1
531911	15500	private	371642857	1
531911	16000	private	368735714	1
531911	16500	private	362607143	1
531911	17000	private	351764286	1
531911	17500	private	344614286	1
531911	18000	private	334046429	1
531911	18500	private	331100000	1
531911	19000	private	327682143	1
542981	4000	public	260883333	1
542981	4500	public	279858333	1
542981	5000	public	291775000	1
542981	5500	public	311575000	1
542981	6000	public	323216667	1
542981	6500	public	338983333	1
542981	7000	public	347050000	1
542981	7500	public	355941667	1
542981	8000	public	360800000	1
542981	8500	public	356766667	1
542981	9000	public	368500000	1
542981	9500	public	370241667	1
542981	10000	public	371250000	1
542981	10500	public	372900000	1
542981	11000	public	388483333	1
542981	11500	public	373083333	1
542981	12000	public	383716667	1
542981	12500	public	396275000	1
542981	13000	public	387291667	1
542981	13500	public	378125000	1
542981	14000	public	383258333	1
542981	14500	public	380141667	1
542981	15000	public	388208333	1
542981	15500	public	396183333	1
542981	16000	public	393616667	1
542981	16500	public	383441667	1
542981	17000	public	371066667	1
542981	17500	public	367950000	1
542981	18000	public	362266667	1
542981	18500	public	352458333	1
542981	19000	public	370241667	1
542981	4000	private	262192857	1
542981	4500	private	284703571	1
542981	5000	private	307096429	1
542981	5500	private	318253571	1
542981	6000	private	336050000	1
542981	6500	private	344221429	1
542981	7000	private	343121429	1
542981	7500	private	343239286	1
542981	8000	private	360800000	1
542981	8500	private	357028571	1
542981	9000	private	363785714	1
542981	9500	private	368539286	1
542981	10000	private	373607143	1
542981	10500	private	370542857	1
542981	11000	private	372507143	1
542981	11500	private	383035714	1
542981	12000	private	380835714	1
542981	12500	private	380953571	1
542981	13000	private	377732143	1
542981	13500	private	376160714	1
542981	14000	private	373175000	1
542981	14500	private	373725000	1
542981	15000	private	366339286	1
542981	15500	private	358992857	1
542981	16000	private	360878571	1
542981	16500	private	353453571	1
542981	17000	private	346971429	1
542981	17500	private	341235714	1
542981	18000	private	333457143	1
542981	18500	private	332160714	1
542981	19000	private	328467857	1
817111	4000	public	267575000	1
817111	4500	public	287741667	1
817111	5000	public	303508333	1
817111	5500	public	315241667	1
817111	6000	public	324683333	1
817111	6500	public	347783333	1
817111	7000	public	343566667	1
817111	7500	public	355025000	1
817111	8000	public	359608333	1
817111	8500	public	356858333	1
817111	9000	public	371891667	1
817111	9500	public	376566667	1
817111	10000	public	377116667	1
817111	10500	public	389491667	1
817111	11000	public	400583333	1
817111	11500	public	394991667	1
817111	12000	public	388300000	1
817111	12500	public	392975000	1
817111	13000	public	420750000	1
817111	13500	public	421483333	1
817111	14000	public	415891667	1
817111	14500	public	412958333	1
817111	15000	public	409750000	1
817111	15500	public	400491667	1
817111	16000	public	388666667	1
817111	16500	public	380966667	1
817111	17000	public	378308333	1
817111	17500	public	373816667	1
817111	18000	public	367950000	1
817111	18500	public	369508333	1
817111	19000	public	364283333	1
817111	4000	private	262467857	1
817111	4500	private	282896429	1
817111	5000	private	303639286	1
817111	5500	private	310396429	1
817111	6000	private	329135714	1
817111	6500	private	337307143	1
817111	7000	private	346185714	1
817111	7500	private	353060714	1
817111	8000	private	355025000	1
817111	8500	private	361703571	1
817111	9000	private	367046429	1
