rank	num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	min_sum_hessian_in_leaf	y	iter
1	1605	0.0101833281991892	0.379926576490886	2042	214	-0.0316954514354009	0.929944383301192	182
2	960	0.0164714470106656	0.401396267323848	2047	228	0.523576682405037	0.929902118512778	305
3	2048	0.0101972299954579	0.459048742649704	47	267	-1.37283514364581	0.929874351747678	66
4	1717	0.0192004931373539	0.283297933873387	2045	195	0.736940517423935	0.929868340451884	321
5	741	0.019057217164223	0.499148191571422	1277	257	-3.44140533800873	0.929812251897017	266
6	2043	0.0159822299296042	0.449352378004864	373	229	-4.99091107003703	0.929762356569983	143
7	825	0.0154709725492777	0.259679878720358	2047	206	0.837999741223262	0.929709988731317	159
8	786	0.0100078611791867	0.437865988735081	1372	247	-0.762358141412269	0.929702089475225	306
9	2027	0.0109001571993224	0.332458126404988	2041	257	0.873549884928186	0.929657810075788	157
10	750	0.0207576828303618	0.229585917426784	12	248	-0.708020374270042	0.92959737354235	217
