envios	rank_resto	wins	n	p_sign_exact	p_adj_holm
4000	1	3	10	0.34375	1
4000	2	1	10	0.021484375	0.150390625
4000	3	1	10	0.021484375	0.150390625
4000	4	3	10	0.34375	1
4000	5	3	10	0.34375	1
4000	6	3	10	0.34375	1
4000	7	3	10	0.34375	1
4000	8	10	10	0.001953125	0.017578125
4000	9	0	10	0.001953125	0.017578125
4500	1	1	10	0.021484375	0.193359375
4500	2	3	10	0.34375	1
4500	3	1	10	0.021484375	0.193359375
4500	4	2	10	0.109375	0.65625
4500	5	1	10	0.021484375	0.193359375
4500	6	2	10	0.109375	0.65625
4500	7	2	10	0.109375	0.65625
4500	8	7	10	0.34375	1
4500	9	3	10	0.34375	1
5000	1	1	10	0.021484375	0.150390625
5000	2	1	10	0.021484375	0.150390625
5000	3	0	10	0.001953125	0.017578125
5000	4	0	10	0.001953125	0.017578125
5000	5	1	10	0.021484375	0.150390625
5000	6	1	10	0.021484375	0.150390625
5000	7	2	10	0.109375	0.21875
5000	8	7	10	0.34375	0.34375
5000	9	1	10	0.021484375	0.150390625
5500	1	0	10	0.001953125	0.017578125
5500	2	0	10	0.001953125	0.017578125
5500	3	0	10	0.001953125	0.017578125
5500	4	0	10	0.001953125	0.017578125
5500	5	0	10	0.001953125	0.017578125
5500	6	2	10	0.109375	0.21875
5500	7	1	10	0.021484375	0.064453125
5500	8	3	10	0.34375	0.34375
5500	9	0	10	0.001953125	0.017578125
6000	1	0	10	0.001953125	0.017578125
6000	2	0	10	0.001953125	0.017578125
6000	3	0	10	0.001953125	0.017578125
6000	4	0	10	0.001953125	0.017578125
6000	5	0	10	0.001953125	0.017578125
6000	6	0	10	0.001953125	0.017578125
6000	7	0	10	0.001953125	0.017578125
6000	8	0	10	0.001953125	0.017578125
6000	9	0	10	0.001953125	0.017578125
6500	1	0	10	0.001953125	0.017578125
6500	2	0	10	0.001953125	0.017578125
6500	3	0	10	0.001953125	0.017578125
6500	4	0	10	0.001953125	0.017578125
6500	5	0	10	0.001953125	0.017578125
6500	6	0	10	0.001953125	0.017578125
6500	7	0	10	0.001953125	0.017578125
6500	8	0	10	0.001953125	0.017578125
6500	9	0	10	0.001953125	0.017578125
7000	1	0	10	0.001953125	0.017578125
7000	2	0	10	0.001953125	0.017578125
7000	3	0	10	0.001953125	0.017578125
7000	4	0	10	0.001953125	0.017578125
7000	5	0	10	0.001953125	0.017578125
7000	6	0	10	0.001953125	0.017578125
7000	7	0	10	0.001953125	0.017578125
7000	8	1	10	0.021484375	0.021484375
7000	9	0	10	0.001953125	0.017578125
7500	1	0	10	0.001953125	0.017578125
7500	2	0	10	0.001953125	0.017578125
7500	3	0	10	0.001953125	0.017578125
7500	4	0	10	0.001953125	0.017578125
7500	5	0	10	0.001953125	0.017578125
7500	6	0	10	0.001953125	0.017578125
7500	7	0	10	0.001953125	0.017578125
7500	8	2	10	0.109375	0.109375
7500	9	0	10	0.001953125	0.017578125
8000	1	0	10	0.001953125	0.017578125
