Feature	Gain	Cover	Frequency
ctrx_quarter	0.133229966745779	0.0207950615968313	0.0225596087222335
mcaja_ahorro	0.0635418809064766	0.0154687254988009	0.0242918280008152
cpayroll_trx	0.0387054094336568	0.00896651154068786	0.00335235378031384
mpayroll	0.036005677487921	0.0166855536722716	0.00923170980232321
mprestamos_personales	0.032885022631963	0.0279210686955534	0.00852863256572244
mpasivos_margen	0.0328617625172652	0.0175777334508398	0.022192785816181
mcuentas_saldo	0.0322016660369605	0.0217571947204226	0.0260342368045649
mcuenta_corriente	0.0288378458500238	0.01678358823509	0.0223456286937029
mrentabilidad_annual	0.026673608406596	0.0282215153886304	0.0311289993886285
mtarjeta_visa_consumo	0.0261572597961876	0.0104359948869384	0.0152842877521907
Visa_mpagominimo	0.0215215137193763	0.0154803153832364	0.022834725901773
ctarjeta_visa_transacciones	0.0179673491480288	0.0179680412375045	0.0155594049317302
Visa_msaldototal	0.0177863970649005	0.00962409986848014	0.0160586916649684
cliente_edad	0.0175201655737034	0.0306892668812178	0.0316384756470349
cproductos	0.0159671997325606	0.0121796598133658	0.0111167719584267
cprestamos_personales	0.0149767799375512	0.0101956276402296	0.00509476258406358
Visa_msaldopesos	0.0148902597540014	0.013636210243074	0.0176686366415325
Master_fechaalta	0.0143377829842214	0.017008951974325	0.0277868351334828
mactivos_margen	0.0142896671923042	0.0225132009356114	0.0227939678011005
Master_Fvencimiento	0.0140210247254377	0.0162697242867689	0.0265131444874669
mautoservicio	0.013609442273018	0.0135447990981746	0.0154880782555533
Master_status	0.0134586775972641	0.00406400438530338	0.0014265335235378
mcomisiones_mantenimiento	0.0134427640397923	0.0122827250625313	0.0107907071530467
Visa_fechaalta	0.0134021535233361	0.0124528721128717	0.0228958630527817
Visa_status	0.0133683833921452	0.0106690614159013	0.00242510699001427
mrentabilidad	0.0129195911168186	0.0149401946985149	0.0225901772977379
Visa_mpagospesos	0.0124027382016934	0.0130234413737353	0.0199307112288567
numero_de_cliente	0.0121878372944711	0.019730781447986	0.025484002445486
Visa_Fvencimiento	0.0118779208306282	0.0156566303294685	0.022437334420216
chomebanking_transacciones	0.0112823016969416	0.0180816457187237	0.0232219278581618
cliente_antiguedad	0.0106002766260357	0.0165816156716212	0.0212451599755451
mtransferencias_recibidas	0.0104296380134822	0.013258150095506	0.0178214795190544
mcomisiones	0.0100434012751923	0.0131113391753629	0.0186060729570002
Master_mfinanciacion_limite	0.0100360681026274	0.0145811272666474	0.0211126961483595
Visa_mfinanciacion_limite	0.00936030994694495	0.01335305862844	0.0192683920929285
mcomisiones_otras	0.00931445524845809	0.0110930203937319	0.0186468310576727
Visa_mconsumospesos	0.00857796970036002	0.00878989823151674	0.0177705318932138
ccomisiones_mantenimiento	0.00808163294514654	0.0111563184103614	0.00572651314448747
Master_mlimitecompra	0.00771681175955506	0.01044369927219	0.0156205420827389
mcaja_ahorro_dolares	0.00719646211557472	0.0130236615560112	0.0140921133075199
ctarjeta_master	0.00711221416793604	0.000435498603268348	0.000601181984919503
Visa_cconsumos	0.0069160866788205	0.00894712512950482	0.0143162828612187
mtransferencias_emitidas	0.00656364680113924	0.0148542298738963	0.0132463827185653
mcuenta_debitos_automaticos	0.00653012787202259	0.0175359873699873	0.0115141634399837
ccaja_seguridad	0.00651890126526949	0.014873978070087	0.00284287752190748
ccomisiones_otras	0.00636844101520734	0.0175761602644337	0.012421031179947
Visa_mlimitecompra	0.00617085558427475	0.0085489159104068	0.012736906460159
Visa_mconsumototal	0.00545601673567604	0.00586291472005275	0.0116568167923375
mttarjeta_visa_debitos_automaticos	0.0054554114618245	0.00954006123989472	0.0116058691664968
ctarjeta_debito_transacciones	0.00530998198843814	0.0130786656413677	0.0139902180558386
ccajas_consultas	0.00504731305174358	0.0125172846028324	0.00310780517627879
ctransferencias_recibidas	0.00429778900413438	0.00864098002339621	0.00897697167312003
Master_msaldopesos	0.00425515519155406	0.0066861128275545	0.00764214387609537
mpagomiscuentas	0.00406379008407791	0.0129691205714198	0.00818218871000611
Master_msaldototal	0.0038928063920952	0.00759281745647492	0.00695944568983085
Visa_mconsumosdolares	0.00387744058498682	0.00761221463744319	0.00747911147340534
Master_mpagospesos	0.00372408116160503	0.0116881539391905	0.00759119625025474
ccallcenter_transacciones	0.00357948847336132	0.00922474267005236	0.00367841858569391
ctransferencias_emitidas	0.0035445868459265	0.0124582147241096	0.00729570002037905
Master_mpagominimo	0.00350417056099962	0.00837751757057453	0.00694925616466273
internet	0.0035000566816383	0.0097409943196479	0.00312818422661504
mextraccion_autoservicio	0.00336134063259999	0.00532110637009697	0.00753005909924598
tcallcenter	0.0032509001137217	0.00354253577196431	0.00240472793967801
ccaja_ahorro	0.00312880895974821	0.0101194461682937	0.00309761565111066
cdescubierto_preacordado	0.00295236273281023	0.00969340503198455	0.0022111269614836
cextraccion_autoservicio	0.00283658624975409	0.00357988738156043	0.00443244344813532
thomebanking	0.00283644146743877	0.00283087315027408	0.00361728143468514
ctarjeta_visa	0.00256322046309056	0.000815843141948808	0.000529855308742613
