parameter	frontera	best_ei_inside	best_ei_outside	ratio_ei	ratio_ei_finite	signal_empirical	signal_surrogate_mean	signal_surrogate_mean_pdp	signal_ei	aligned_three	aligned_three_pdp
learning_rate	lower	0.000210175184121664	0.000194352579548768	0.924717065722962	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
min_sum_hessian_in_leaf	lower	0.000208152559396378	0.000162542316480572	0.780880700924019	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
num_leaves	lower	0.0002210548026127	0.000161102650465453	0.728790546784517	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
num_leaves	upper	0.0002210548026127	0.000152951260477872	0.691915573288182	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
num_iterations	upper	0.000219251708073861	0.000132042840099725	0.602243153586941	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
min_sum_hessian_in_leaf	upper	0.000208152559396378	0.000102078253538934	0.490401145366411	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
learning_rate	upper	0.000210175184121664	5.85525286271513e-05	0.278589162996794	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
feature_fraction	lower	0.000228982480710201	5.60910880263114e-05	0.244957989154201	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
num_iterations	lower	0.000219251708073861	3.1626486131936e-05	0.144247387670438	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
min_data_in_leaf	upper	0.0001973989694114	1.66406652896943e-06	0.00842996563726399	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE
feature_fraction	upper	0.000228982480710201	-Inf	-Inf	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
min_data_in_leaf	lower	0.0001973989694114	-Inf	-Inf	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE
