Estudiante	semilla	qmeses train	lag1	delta lag1	cross validation	metrica a optimizar	cantidad hiperparámetros bayesiana	bayesiana Iteraciones	undersampling	learning_rate	feature_fraction	feature_fraction_bynode	min_data_in_leaf	num_leaves	max_depth	lambda_l1	lambda_l2	min_gain_to_split	max_delta_step	bagging_fraction	min_sum_hessian_in_leaf	bagging_freq	boosting	drop_rate	skip_drop	max_drop	force_row_wise	force_col_wise	pos_bagging_fraction	neg_bagging_fraction	Extra_tree	path_smooth	cat_l2	cat_smooth	max_cat_to_onehot	top_rate	other_rate	use_missing	is_unbalance	num_iterations	early_stopping_rounds	max_bin	scale_pos_weight	Prueba	mejores envios	PESO BAJA+2	GANANCIA media	Desvío estándar	Ganancia Total
Juara	166297	1	No	No	3-fold	auc	6	300	0.1	0.010	0.32	NA	179	662	-1	0.0	0.0	0.0	NA	1.0	1.005665251691861e-05	0	gbdt	0.1	0.5	50	True	FALSE	1.0	1.0	False	NA	NA	NA	NA	NA	NA	NA	False	1880	0	31	1.0		13500	13500	395303333.3	8062311.2	382250000.0
Juara	141871	1	No	No	3-fold	auc	6	300	0.1	0.01031	0.16	NA	183	8	-1	0.0	0.0	0.0	NA	1.0	1.0486934114211086e-05	0	gbdt	0.1	0.5	50	True	FALSE	1.0	1.0	False	NA	NA	NA	NA	NA	NA	NA	False	1143	0	31	1.0	1	14000	14000	424343333.1	7671114.5	392700000.0
Juara	141871	1	No	No	3-fold	auc	6	300	0.1	0.07505	0.22	NA	223	9	-1	0.0	0.0	0.0	NA	1.0	1.0653451064011455e-05	0	gbdt	0.1	0.5	50	True	FALSE	1.0	1.0	False	NA	NA	NA	NA	NA	NA	NA	False	395	0	31	1.0	2	14000	14000	412325833.5	13843393.7	376200000.0
Juara	141871	1	No	No	3-fold	auc	6	300	0.1	0.01020	0.28	NA	232	993	-1	0.0	0.0	0.0	NA	1.0	1.3209270217602734e-05	0	gbdt	0.1	0.5	50	True	FALSE	1.0	1.0	False	NA	NA	NA	NA	NA	NA	NA	False	1971	0	31	1.0	3	13000	13000	407522499.9	6400151.9	385000000.0
Juara	188179	1	No	No	3-fold	auc	6	300	0.1	0.01012	0.30	NA	214	2019	-1	0.0	0.0	0.0	NA	1.0	0.027620334319363345	0	gbdt	0.1	0.5	50	True	FALSE	1.0	1.0	False	NA	NA	NA	NA	NA	NA	NA	False	1921	0	31	1.0	4	14000	14000	402444166.7	6756405.4	381700000.0
Juara	166297	1	No	No	3-fold	auc	6	300	0.1	0.01044	0.32	NA	179	662	-1	0.0	0.0	0.0	NA	1.0	1.005665251691861e-05	0	gbdt	0.1	0.5	50	True	FALSE	1.0	1.0	False	NA	NA	NA	NA	NA	NA	NA	False	1880	0	31	1.0	5	13500	13500	395303333.3	8062311.2	382250000.0
Juara	862307	1	No	No	3-fold	auc	6	300	0.1	0.01911	0.62	NA	218	2041	-1	0.0	0.0	0.0	NA	1.0	0.0017205731957869496	0	gbdt	0.1	0.5	50	True	FALSE	1.0	1.0	False	NA	NA	NA	NA	NA	NA	NA	False	1753	0	31	1.0	6	12000	12000	394753333.4	10631057.2	372900000.0
Juara	166297	1	No	No	3-fold	auc	6	300	0.1	0.01021	0.42	NA	266	2019	-1	0.0	0.0	0.0	NA	1.0	0.917483283002468	0	gbdt	0.1	0.5	50	True	FALSE	1.0	1.0	False	NA	NA	NA	NA	NA	NA	NA	False	2043	0	31	1.0	7	14000	14000	389601666.6	8731248.6	377300000.0
Juara	542981	1	No	No	3-fold	auc	6	300	0.1	0.01004	0.54	NA	208	687	-1	0.0	0.0	0.0	NA	1.0	0.493935284685342	0	gbdt	0.1	0.5	50	True	FALSE	1.0	1.0	False	NA	NA	NA	NA	NA	NA	NA	False	1953	0	31	1.0	8	14500	14500	389399999.9	6572698.1	376750000.0
Juara	862307	1	No	No	3-fold	auc	6	300	0.1	0.01008	0.65	NA	200	652	-1	0.0	0.0	0.0	NA	1.0	2.097971579771387e-05	0	gbdt	0.1	0.5	50	True	FALSE	1.0	1.0	False	NA	NA	NA	NA	NA	NA	NA	False	2015	0	31	1.0	9	11500	11500	387245833.4	10897948.5	375650000.0
Juara	542981	1	No	No	3-fold	auc	6	300	0.1	0.04898	0.62	NA	196	1606	-1	0.0	0.0	0.0	NA	1.0	0.965586243467383	0	gbdt	0.1	0.5	50	True	FALSE	1.0	1.0	False	NA	NA	NA	NA	NA	NA	NA	False	2044	0	31	1.0	10	11500	11500	358902499.9	6002319.0	350350000.0
