envios	statistic	p.value	df
4000	48.8337378640777	1.78328247033958e-07	9
4500	36.3385922330097	3.45196648018556e-05	9
5000	45.84	6.44821356730706e-07	9
5500	51.8659793814433	4.79189758352465e-08	9
6000	70.1934505761068	1.39532574237348e-11	9
6500	62.1376591873863	5.18235747306926e-10	9
7000	65.5636363636364	1.12071509805132e-10	9
7500	63.12	3.34396385159917e-10	9
8000	64.298969072165	1.97450931325753e-10	9
8500	60.5112189205579	1.06847177705027e-09	9
9000	60.4581818181818	1.09393914246494e-09	9
9500	59.310491206792	1.82010745528611e-09	9
10000	49.2378640776699	1.49779709561492e-07	9
10500	50.4469375379018	8.8760364567791e-08	9
11000	43.875	1.48829192972581e-06	9
11500	48.4581818181818	2.0967460184963e-07	9
12000	62.9563371740449	3.59736834496023e-10	9
12500	63.3820497271073	2.97473127483761e-10	9
13000	69.0491803278689	2.33837622370951e-11	9
13500	69.84	1.63674567061815e-11	9
14000	71.9945421467556	6.17955682110505e-12	9
14500	74.5745454545455	1.91742295932193e-12	9
15000	73.2218181818182	3.5433625846346e-12	9
15500	69.8836363636364	1.60482185476247e-11	9
16000	62.6067961165049	4.20441461206133e-10	9
16500	62.9235900545785	3.65032261037408e-10	9
17000	56.3345454545455	6.77493805367297e-09	9
17500	54.6276531231049	1.43401963684751e-08	9
18000	56.6104368932039	5.99993149679154e-09	9
18500	56.0509090909091	7.67556439164484e-09	9
19000	55.2521263669502	1.09035836724718e-08	9
