envios	rank_mejor	rank_segundo	statistic	p.value	mean_ganador	mean_subcampeon
4000	8	4	0	0.00592153702414871	254952500	267290833.3
4500	8	4	8	0.0527870006322246	271535000.1	278272499.9
5000	8	4	28	1	285963333.2	286100833.3
5500	8	4	11	0.102917539402853	291069166.6	301885833.4
6000	8	4	2	0.0108269212771313	288988333.3	308604999.9
6500	8	4	0	0.00592153702414871	291014166.6	315920000
7000	8	4	0	0.00592153702414871	293681666.7	325306666.7
7500	8	4	0	0.00592153702414871	299245833.5	331989166.8
8000	8	4	0	0.00592153702414871	305158333.3	341705833.3
8500	8	4	0	0.00592153702414871	313692500	349140000.1
9000	8	4	0	0.00592153702414871	327286666.6	357774999.9
9500	8	4	0	0.00592153702414871	338524999.9	368463333.2
10000	8	4	0	0.00592153702414871	352000000.1	382250000.1
10500	8	4	0	0.00592153702414871	361973333.5	391297500
11000	8	4	3	0.0144328239388418	372423333.4	397200833.4
11500	8	4	25	0.838463781922464	398539166.7	401830000.1
12000	8	4	38	0.308063229907199	413563333.3	405789999.9
12500	8	4	45	0.0831311427008039	418870833.4	406101666.6
13000	8	4	42	0.153576396549984	421923333.3	410749166.6
13500	8	4	47	0.0527870006322246	423949166.7	411225833.2
14000	8	4	41	0.185143724157873	424343333.1	412325833.5
14500	8	4	50	0.0249324556028632	424187500	407650833.5
15000	8	4	50	0.0249324556028632	420795833.5	405148333.3
15500	8	4	54	0.00804523748656161	419274166.7	402380000
16000	8	4	55	0.00592153702414877	417422499.9	399107500
16500	8	4	52	0.0143692894436029	414168333.3	400262500
17000	8	4	46	0.0665457213437162	407504166.7	396449166.7
17500	8	4	50	0.0249324556028632	403021666.8	388226666.7
18000	8	4	54	0.00804523748656161	401179166.6	383899999.8
18500	8	4	52	0.0144328239388418	396247500	379664999.8
19000	8	4	54	0.00804523748656161	388804166.6	370993333.2
