envios	comparador	statistic	p.value	mean_top	mean_comparador
4000	mediana_resto	3	0.0144328239388418	254952500	262230833.4
4500	mediana_resto	14	0.185143724157873	271535000.1	278061666.5
5000	mediana_resto	8	0.0527870006322246	285963333.2	290876666.6
5500	mediana_resto	1	0.00804523748656169	291069166.6	304443333.4
6000	mediana_resto	0	0.00585709908528413	288988333.3	319788333.4
6500	mediana_resto	0	0.00592153702414871	291014166.6	334491666.7
7000	mediana_resto	0	0.00592153702414871	293681666.7	343392500.1
7500	mediana_resto	0	0.00592153702414871	299245833.5	351972500.1
8000	mediana_resto	0	0.00592153702414871	305158333.3	359718333.3
8500	mediana_resto	0	0.00592153702414871	313692500	367821666.6
9000	mediana_resto	0	0.00592153702414871	327286666.6	375127500
9500	mediana_resto	0	0.00592153702414871	338524999.9	379334999.9
10000	mediana_resto	0	0.00592153702414871	352000000.1	381672500
10500	mediana_resto	0	0.00592153702414871	361973333.5	383432500
11000	mediana_resto	1	0.00804523748656169	372423333.4	386604166.7
11500	mediana_resto	49	0.0323129112432441	398539166.7	387016666.6
12000	mediana_resto	55	0.00592153702414877	413563333.3	388886666.6
12500	mediana_resto	55	0.00592153702414877	418870833.4	391810833.5
13000	mediana_resto	55	0.00592153702414877	421923333.3	390527500
13500	mediana_resto	55	0.00592153702414877	423949166.7	390637500.1
14000	mediana_resto	55	0.00588927004181739	424343333.1	390839166.7
14500	mediana_resto	55	0.00592153702414877	424187500	390692500
15000	mediana_resto	55	0.00588927004181739	420795833.5	389271666.6
15500	mediana_resto	55	0.00592153702414877	419274166.7	386100000
16000	mediana_resto	55	0.00592153702414877	417422499.9	383744166.6
16500	mediana_resto	55	0.00592153702414877	414168333.3	382937500.1
17000	mediana_resto	55	0.00592153702414877	407504166.7	379096666.7
17500	mediana_resto	55	0.00592153702414877	403021666.8	376429166.5
18000	mediana_resto	55	0.00592153702414877	401179166.6	374843333.4
18500	mediana_resto	55	0.00592153702414877	396247500	369600000
19000	mediana_resto	55	0.00592153702414877	388804166.6	365145000.1
4000	max_resto	0	0.00592153702414871	254952500	274385833.5
4500	max_resto	1	0.00800430976224058	271535000.1	290445833.3
5000	max_resto	0	0.00592153702414871	285963333.2	305094166.7
5500	max_resto	0	0.00592153702414871	291069166.6	324234166.7
6000	max_resto	0	0.00592153702414871	288988333.3	337470833.3
6500	max_resto	0	0.00592153702414871	291014166.6	349744999.8
7000	max_resto	0	0.00592153702414871	293681666.7	361423333.1
7500	max_resto	0	0.00592153702414871	299245833.5	364338333.3
8000	max_resto	0	0.00592153702414871	305158333.3	370938333.3
8500	max_resto	0	0.00592153702414871	313692500	382625833.3
9000	max_resto	0	0.00592153702414871	327286666.6	387695000
9500	max_resto	0	0.00592153702414871	338524999.9	390170000
10000	max_resto	0	0.00592153702414871	352000000.1	396779166.6
10500	max_resto	0	0.00592153702414871	361973333.5	400977500
11000	max_resto	0	0.00592153702414871	372423333.4	404341666.7
11500	max_resto	12	0.126278928554698	398539166.7	407641666.6
12000	max_resto	33	0.610298655976554	413563333.3	411665833.4
12500	max_resto	43	0.126278928554698	418870833.4	409585000.1
13000	max_resto	41	0.185143724157873	421923333.3	415295833.2
13500	max_resto	44	0.102917539402853	423949166.7	414910833.2
14000	max_resto	40	0.22127181567247	424343333.1	415488333.4
14500	max_resto	49	0.0323129112432441	424187500	411665833.4
15000	max_resto	50	0.0249324556028632	420795833.5	408430000
15500	max_resto	54	0.00804523748656161	419274166.7	405460000
16000	max_resto	55	0.00592153702414877	417422499.9	402480833.3
16500	max_resto	52	0.0143692894436029	414168333.3	402361666.7
17000	max_resto	46	0.0665457213437162	407504166.7	399538333.3
17500	max_resto	49	0.0323129112432441	403021666.8	394799166.7
18000	max_resto	54	0.00804523748656161	401179166.6	389427499.9
18500	max_resto	52	0.0143692894436029	396247500	384394999.9
19000	max_resto	53	0.0108269212771313	388804166.6	378720833.2
