hp	corrida	n_top	p10	p50	p90
num_iterations	02_cv5	49	786.0	1438.0	2043.0
num_iterations	03_cv3	49	568.0	1677.0	2037.0
learning_rate	02_cv5	49	0.0101972299954579	0.0142405244326615	0.0239071372304995
learning_rate	03_cv3	49	0.0101216408150992	0.0178015422029742	0.0721949925025847
feature_fraction	02_cv5	49	0.268995186079883	0.437865988735081	0.624252356263436
feature_fraction	03_cv3	49	0.218412412909583	0.515697941886554	0.69711414315604
num_leaves	02_cv5	49	12.0	986.0	2045.0
num_leaves	03_cv3	49	13.0	687.0	2033.0
min_data_in_leaf	02_cv5	49	206.0	253.0	298.0
min_data_in_leaf	03_cv3	49	149.0	211.0	339.0
min_sum_hessian_in_leaf	02_cv5	49	2.9604164842566595e-05	0.16714575817346716	0.898881761887117
min_sum_hessian_in_leaf	03_cv3	49	1.0191808535471766e-05	0.02294594957574102	0.993350026090795
