step	dob_02	dob_03	dist_norm
1	1	1	1.47480867
2	2	2	0.86288006
3	3	3	1.36241502
4	4	4	0.42868379
5	5	5	0.89195668
6	6	6	0.93385170
7	7	7	0.86608288
8	8	8	0.99855572
9	9	9	0.97106811
10	10	10	0.96244608
11	11	11	0.98140565
12	12	12	1.06237504
13	13	13	0.78998958
14	14	14	1.10807504
15	15	15	1.23763623
16	16	16	1.28028303
17	17	17	1.25839274
18	18	18	1.06423470
19	19	19	1.63620756
20	20	20	0.92106369
21	21	21	1.31813500
22	22	22	1.25448786
23	23	23	0.83165837
24	24	24	0.87014368
25	25	25	0.42245802
26	26	26	1.12497478
27	27	27	0.97621876
28	28	28	0.95595471
29	29	29	1.19188857
30	30	30	0.91139013
31	31	31	1.54243936
32	32	32	0.86340653
33	33	33	1.19918546
34	34	34	1.58131261
35	35	35	1.21932898
36	36	36	1.88461620
37	37	37	1.01030974
38	38	38	1.11224113
39	39	39	0.62069470
40	40	40	1.24197712
41	41	41	1.21338786
42	42	42	0.62726252
43	43	43	1.67738867
44	44	44	0.63164072
45	45	45	1.14390239
46	46	46	1.10762176
47	47	47	0.36306588
48	48	48	1.59405697
49	49	49	1.94115586
50	50	50	1.19780322
51	51	51	1.10884929
52	52	52	1.38987442
53	53	53	0.78895222
54	54	54	1.29094978
55	55	55	1.33138749
56	56	56	1.40107311
57	57	57	1.16216672
58	58	58	1.28459031
59	59	59	1.29497064
60	60	60	1.37339021
61	61	61	1.42738755
62	62	62	1.26691552
63	63	63	1.28615503
64	64	64	0.75592239
65	65	65	1.33681725
66	66	66	1.55264123
67	67	67	0.98265554
68	68	68	0.80501859
69	69	69	1.29330194
70	70	70	1.30148011
71	71	71	1.48683366
72	72	72	1.80617900
73	73	73	0.88055918
74	74	74	0.61210337
75	75	75	1.46987782
76	76	76	1.33647606
77	77	77	1.17948059
78	78	78	1.08928688
79	79	79	1.28245085
80	80	80	1.43909902
81	81	81	1.30049093
82	82	82	1.20228711
83	83	83	1.25600583
84	84	84	1.18799568
85	85	85	1.79305602
86	86	86	1.80481908
87	87	87	1.17209800
88	88	88	0.97112031
89	89	89	1.11854499
90	90	90	1.26521328
91	91	91	1.70989851
92	92	92	0.59667647
93	93	93	0.96768819
94	94	94	1.22112293
95	95	95	1.11982943
96	96	96	1.09241906
97	97	97	1.49678237
98	98	98	1.07619601
99	99	99	1.30823842
100	100	100	1.21660205
101	101	101	0.73107147
102	102	102	1.29632370
103	103	103	0.52673339
104	104	104	1.51889695
105	105	105	1.12232842
106	106	106	1.09245038
107	107	107	1.42054461
108	108	108	0.98903519
109	109	109	1.23280353
110	110	110	1.33696397
111	111	111	0.84287755
112	112	112	1.50462818
113	113	113	1.18473322
114	114	114	1.10737628
115	115	115	0.89148974
116	116	116	0.88898029
117	117	117	1.58893206
118	118	118	1.10689887
119	119	119	0.59123004
120	120	120	1.60408038
121	121	121	1.16961420
122	122	122	1.35895710
123	123	123	0.69701906
124	124	124	1.35693370
125	125	125	1.19690941
126	126	126	1.21122784
127	127	127	1.49127071
128	128	128	0.75956040
129	129	129	1.06839062
130	130	130	0.73919864
131	131	131	1.16805283
132	132	132	0.62447956
133	133	133	0.80685300
134	134	134	1.26149109
135	135	135	1.07591800
136	136	136	0.99997795
137	137	137	0.90153089
138	138	138	1.03115556
139	139	139	1.11305292
140	140	140	1.15212359
141	141	141	0.48845224
142	142	142	0.27052784
143	143	143	1.58478594
144	144	144	1.17386548
145	145	145	0.76909765
146	146	146	1.52894362
147	147	147	1.19370642
148	148	148	1.74366954
149	149	149	1.07998065
150	150	150	1.02494039
151	151	151	1.17668992
152	152	152	1.09691771
153	153	153	1.29930284
154	154	154	1.24613051
155	155	155	1.02743318
156	156	156	1.46421788
157	157	157	0.63073553
158	158	158	0.50521834
159	159	159	1.29568800
160	160	160	0.97290859
161	161	161	1.30064538
162	162	162	0.79459770
163	163	163	1.28156508
164	164	164	0.76092248
165	165	165	1.33843288
166	166	166	0.09376730
167	167	167	1.37990583
168	168	168	1.09655260
169	169	169	0.85500309
170	170	170	0.41869721
171	171	171	1.51672218
172	172	172	0.78334378
173	173	173	1.16759935
174	174	174	0.34070584
175	175	175	1.33046117
176	176	176	1.34978956
177	177	177	1.55705876
178	178	178	0.90435719
179	179	179	1.16867920
180	180	180	1.32841159
181	181	181	1.38740863
182	182	182	1.05536738
183	183	183	0.42653049
184	184	184	0.33284926
185	185	185	0.83278739
186	186	186	1.43108544
187	187	187	0.82257358
188	188	188	1.32676479
189	189	189	1.29112870
190	190	190	0.75672879
191	191	191	0.66774679
192	192	192	1.08719155
193	193	193	1.07085380
194	194	194	0.80502846
195	195	195	1.21250209
196	196	196	1.44533259
197	197	197	1.28284552
198	198	198	1.48837208
199	199	199	1.19783032
200	200	200	1.24418719
201	201	201	1.38242882
202	202	202	0.96232686
203	203	203	1.03279161
204	204	204	1.50569853
205	205	205	1.08383064
206	206	206	1.46708474
207	207	207	1.18760325
208	208	208	0.66493437
209	209	209	1.04964419
210	210	210	0.80907466
211	211	211	0.42773948
212	212	212	1.26927290
213	213	213	1.29591764
214	214	214	0.86159961
215	215	215	1.00820661
216	216	216	0.90326770
217	217	217	1.35970452
218	218	218	1.61057544
219	219	219	1.22029945
220	220	220	1.46682494
221	221	221	0.84610731
222	222	222	1.49874397
223	223	223	1.44164884
224	224	224	0.46518476
225	225	225	1.15973306
226	226	226	1.57708131
227	227	227	0.78107056
228	228	228	1.82063938
229	229	229	1.24917246
230	230	230	1.11433912
231	231	231	1.36219303
232	232	232	0.98346741
233	233	233	1.43215377
234	234	234	0.82260530
235	235	235	1.02492427
236	236	236	1.16992015
237	237	237	0.85091376
238	238	238	0.78447465
239	239	239	1.11663906
240	240	240	0.99806528
241	241	241	1.08082021
242	242	242	0.85041350
243	243	243	0.87774591
244	244	244	0.60686179
245	245	245	0.83714201
246	246	246	1.31944394
247	247	247	1.02646194
248	248	248	1.41355177
249	249	249	1.43267874
250	250	250	1.17652552
251	251	251	1.39595009
252	252	252	0.58158039
253	253	253	1.14681806
254	254	254	0.93450363
255	255	255	0.46492978
256	256	256	0.28502572
257	257	257	0.94564709
258	258	258	0.35039672
259	259	259	0.49747337
260	260	260	1.66382446
261	261	261	1.43694381
262	262	262	0.77342842
263	263	263	0.84924210
264	264	264	1.17845389
265	265	265	1.57685722
266	266	266	0.98402355
267	267	267	1.04945324
268	268	268	1.36182444
269	269	269	1.20267873
270	270	270	1.34673741
271	271	271	0.56093762
272	272	272	1.67058813
273	273	273	1.12400970
274	274	274	1.16157389
275	275	275	0.56565006
276	276	276	1.38005335
277	277	277	1.53688353
278	278	278	1.07208935
279	279	279	0.77664230
280	280	280	1.67412015
281	281	281	0.63224564
282	282	282	0.78117987
283	283	283	1.16432439
284	284	284	0.83590630
285	285	285	1.39681681
286	286	286	1.54356784
287	287	287	0.79667345
288	288	288	1.05589412
289	289	289	1.18797640
290	290	290	1.37018772
291	291	291	1.00764914
292	292	292	1.46472637
293	293	293	0.69898510
294	294	294	0.80027465
295	295	295	0.34012435
296	296	296	1.40163279
